0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,L61,L62,L63,L64,L65,L66,L67,L68,L69,L70,L71,L72,L73,L74,L75,L76,L77,L78,L79,L80,L81,L82,L83,L84,L85,L86,L87,L88,L89,L90,L91,L92,L93,L94,L95,L96,L97,L98,L99,L100
0.240015,0.390302,0.459942,0.311589,0.092642,0.201181,0.293136,0.383278,0.160993,0.137288,0.022546,0.080076,0.061257,0.169202,0.08384,0.369975,0.521307,0.62529,0.41328,0.152919,0.288254,0.384242,0.507624,0.256664,0.225482,0.041065,0.136306,0.110035,0.243386,0.139773,0.283161,0.385607,0.364579,0.36731,0.152814,0.268256,0.329588,0.353504,0.222572,0.190855,0.049091,0.141119,0.115664,0.239128,0.143779,0.628593,0.71075,0.669632,0.672677,0.482988,0.586472,0.587292,0.636101,0.561741,0.559448,0.245716,0.514632,0.447524,0.552683,0.489172,0.234524,0.422414,0.453843,0.354785,0.078658,0.24167,0.279433,0.375499,0.163878,0.14287,0.027394,0.118825,0.049294,0.176995,0.074017,0.326571,0.539614,0.554961,0.42857,0.115637,0.299685,0.342989,0.455639,0.231316,0.208574,0.042073,0.170082,0.076253,0.23739,0.112085,0.288544,0.393532,0.371193,0.39805,0.140112,0.310237,0.325658,0.330603,0.233014,0.195408,0.055729,0.187821,0.100351,0.251676,0.13332,0.576505,0.672115,0.628203,0.680188,0.424465,0.563228,0.538184,0.571581,0.517641,0.504623,0.209926,0.485244,0.360534,0.533748,0.400158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.416461,0.495385,0.570226,0.345776,0.186259,0.331724,0.325272,0.52566,0.302929,0.269121,0.051969,0.184556,0.147618,0.251315,0.175618,0.494268,0.600143,0.688612,0.42107,0.243613,0.408659,0.39316,0.62649,0.369927,0.33786,0.067722,0.244703,0.202484,0.307345,0.229029,0.392958,0.414556,0.377852,0.378057,0.254769,0.376781,0.326554,0.410782,0.331433,0.29317,0.083998,0.245154,0.207213,0.320623,0.241999,0.672369,0.699992,0.670986,0.679666,0.554773,0.651691,0.584049,0.667979,0.588802,0.581589,0.267831,0.572389,0.497126,0.632698,0.528976,0.358837,0.477342,0.560807,0.392638,0.135134,0.341892,0.278517,0.517818,0.248565,0.219344,0.042896,0.205977,0.090244,0.248552,0.128555,0.41934,0.569838,0.642694,0.470779,0.171211,0.406172,0.333969,0.596299,0.291331,0.266064,0.053635,0.254426,0.118832,0.302483,0.162104,0.351974,0.377344,0.370838,0.388307,0.200007,0.362393,0.2983,0.366149,0.293434,0.250214,0.07794,0.267682,0.145938,0.305566,0.190381,0.62085,0.641587,0.645145,0.650383,0.442757,0.611924,0.517569,0.640094,0.526178,0.512498,0.240761,0.531309,0.362208,0.56469,0.424254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.489378,0.534685,0.492128,0.428794,0.226421,0.390241,0.370597,0.517007,0.352235,0.310663,0.068882,0.218645,0.176715,0.317586,0.217106,0.611638,0.653403,0.599049,0.522401,0.3078,0.481766,0.454375,0.614624,0.460146,0.412027,0.106885,0.313724,0.255724,0.395661,0.297408,0.432242,0.421653,0.360934,0.409678,0.288889,0.400203,0.336046,0.410577,0.364707,0.322542,0.108812,0.283311,0.237912,0.359827,0.276839,0.698744,0.701134,0.654644,0.684874,0.613995,0.653273,0.578562,0.691028,0.659676,0.630858,0.34293,0.643203,0.573284,0.647757,0.600327,0.406301,0.502392,0.540336,0.459593,0.159493,0.379461,0.320371,0.500666,0.281875,0.256401,0.057639,0.237706,0.110462,0.29317,0.156656,0.515923,0.596543,0.635685,0.561432,0.224206,0.473918,0.394964,0.585292,0.368375,0.342904,0.086748,0.325037,0.157308,0.377296,0.217332,0.390378,0.38905,0.373585,0.416444,0.234665,0.381833,0.311536,0.373238,0.325826,0.288677,0.099346,0.308627,0.17824,0.344183,0.226215,0.64785,0.659504,0.637621,0.686349,0.542384,0.629312,0.545781,0.616583,0.59516,0.572315,0.32222,0.607309,0.474867,0.633048,0.526246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.432487,0.477005,0.540168,0.314577,0.195882,0.319298,0.305959,0.482067,0.326904,0.29593,0.063014,0.200649,0.165553,0.246642,0.19269,0.505314,0.58628,0.643506,0.383381,0.24132,0.383011,0.373334,0.570855,0.396459,0.362568,0.082087,0.24838,0.205967,0.299479,0.23725,0.405798,0.400936,0.368217,0.342511,0.288592,0.362807,0.297146,0.381523,0.363242,0.329608,0.11334,0.289749,0.2504,0.322051,0.280168,0.639052,0.695896,0.69555,0.579876,0.601631,0.614066,0.517397,0.68173,0.645879,0.631362,0.358955,0.588546,0.550645,0.587738,0.606867,0.380208,0.442139,0.522064,0.370211,0.167214,0.33815,0.264489,0.491451,0.285185,0.270043,0.06014,0.242187,0.123325,0.268193,0.164461,0.478452,0.548196,0.634395,0.475059,0.2357,0.434418,0.333135,0.59556,0.381355,0.362141,0.08687,0.326308,0.177811,0.360906,0.231323,0.364462,0.34505,0.342346,0.33784,0.246354,0.341367,0.262881,0.341837,0.324255,0.2921,0.109124,0.311065,0.19357,0.317634,0.236148,0.604601,0.617329,0.663345,0.58233,0.516442,0.58636,0.495014,0.6205,0.592441,0.559029,0.275611,0.569104,0.430134,0.5716,0.48908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.429473,0.526731,0.540927,0.434859,0.183638,0.360624,0.378984,0.545153,0.296419,0.257053,0.049567,0.168672,0.133151,0.287735,0.172023,0.541656,0.636828,0.662455,0.587668,0.228383,0.458125,0.483489,0.677089,0.364032,0.317417,0.064061,0.208279,0.1617,0.382263,0.215033,0.427435,0.452062,0.405531,0.448387,0.236334,0.396059,0.370333,0.455471,0.324377,0.284156,0.075477,0.222158,0.179311,0.340763,0.221731,0.68358,0.698701,0.669449,0.706122,0.528857,0.633462,0.593144,0.698536,0.595305,0.559714,0.269737,0.505511,0.437776,0.619944,0.50385,0.365309,0.489774,0.551355,0.454171,0.136695,0.367673,0.318482,0.518679,0.250524,0.226234,0.046604,0.203925,0.09304,0.268635,0.133881,0.449429,0.587588,0.633126,0.594865,0.16394,0.462658,0.405378,0.606122,0.306022,0.275016,0.058944,0.248748,0.109141,0.342547,0.160731,0.375884,0.404828,0.403135,0.448322,0.190259,0.38566,0.329999,0.397672,0.291216,0.255447,0.074505,0.264452,0.136847,0.322724,0.185203,0.634382,0.665245,0.662237,0.690902,0.432811,0.606327,0.533539,0.629952,0.525472,0.495867,0.229999,0.516451,0.3416,0.575877,0.409777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.398818,0.457774,0.50948,0.325846,0.175598,0.302456,0.302617,0.466434,0.277339,0.255432,0.056197,0.174837,0.139235,0.238996,0.167221,0.56054,0.560919,0.621154,0.423481,0.282863,0.431062,0.377371,0.595998,0.401512,0.396605,0.104985,0.29775,0.240681,0.341615,0.269027,0.387827,0.389619,0.345982,0.368537,0.250445,0.357899,0.309232,0.375586,0.31945,0.288211,0.095799,0.247472,0.206058,0.316764,0.238085,0.689895,0.69861,0.6309,0.713449,0.558593,0.656126,0.580776,0.654575,0.59785,0.595494,0.366869,0.55997,0.50504,0.643381,0.537322,0.397519,0.478355,0.51574,0.424256,0.156522,0.361992,0.292353,0.487959,0.276512,0.256072,0.057623,0.236268,0.109292,0.283572,0.15336,0.518375,0.570031,0.621135,0.526709,0.229633,0.476414,0.361862,0.590304,0.3641,0.35203,0.09199,0.33989,0.167726,0.385293,0.224814,0.381011,0.377758,0.356059,0.40861,0.217424,0.371899,0.303255,0.356219,0.30921,0.277734,0.091269,0.294946,0.163021,0.330708,0.210542,0.65148,0.664849,0.613799,0.665928,0.458126,0.609927,0.525971,0.59135,0.563979,0.539973,0.249282,0.547783,0.379403,0.582511,0.447778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.367028,0.46438,0.523972,0.294848,0.164556,0.26234,0.287442,0.427889,0.278767,0.24694,0.055479,0.164778,0.133776,0.216062,0.160638,0.437153,0.582874,0.643706,0.367113,0.216083,0.317475,0.356122,0.506735,0.353333,0.315885,0.075311,0.215671,0.184792,0.266196,0.211327,0.356779,0.376739,0.332806,0.322888,0.264003,0.313133,0.279861,0.332136,0.327244,0.301571,0.11822,0.271543,0.236089,0.291679,0.256076,0.651047,0.693655,0.650403,0.605068,0.59313,0.544245,0.550767,0.583248,0.624182,0.602187,0.309086,0.610203,0.565613,0.589424,0.567607,0.318895,0.467616,0.473704,0.344995,0.118058,0.27932,0.263793,0.400184,0.235601,0.207746,0.045733,0.180159,0.080647,0.219948,0.113186,0.400534,0.589805,0.553693,0.450728,0.154496,0.353606,0.339917,0.46336,0.297901,0.265766,0.060443,0.231361,0.104165,0.287632,0.148788,0.334824,0.336163,0.301282,0.328136,0.227015,0.302571,0.260676,0.284523,0.298483,0.269076,0.112382,0.286648,0.179633,0.298888,0.217016,0.615222,0.646118,0.570165,0.616601,0.515244,0.522453,0.497994,0.509021,0.57694,0.553977,0.301497,0.588499,0.441122,0.582849,0.495025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.503738,0.45651,0.413059,0.381701,0.283007,0.391416,0.321199,0.450952,0.371983,0.344505,0.100456,0.284396,0.234453,0.340393,0.269762,0.642359,0.61372,0.630982,0.506119,0.390407,0.485922,0.420712,0.592232,0.485794,0.453436,0.148451,0.398162,0.335936,0.450556,0.37534,0.420157,0.356626,0.300291,0.341002,0.343217,0.378514,0.279582,0.342644,0.376816,0.344647,0.14267,0.346713,0.304416,0.361861,0.327496,0.709916,0.716047,0.633359,0.651095,0.673966,0.597118,0.533376,0.613717,0.663722,0.62787,0.369208,0.685205,0.651466,0.659248,0.643962,0.467786,0.432696,0.438455,0.404322,0.236108,0.390655,0.273903,0.438126,0.338911,0.323003,0.096019,0.339928,0.174469,0.352205,0.230804,0.596318,0.556568,0.594943,0.528222,0.34237,0.483929,0.355296,0.560159,0.441743,0.430642,0.146915,0.475914,0.265505,0.470256,0.332733,0.388041,0.309122,0.288997,0.32888,0.303664,0.3451,0.248066,0.307964,0.34357,0.320519,0.14481,0.376778,0.247453,0.358288,0.292553,0.67293,0.642244,0.628467,0.641134,0.606622,0.577082,0.497055,0.577706,0.613449,0.599856,0.347575,0.671847,0.553791,0.64175,0.589928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.437843,0.4711,0.52284,0.341013,0.208202,0.358009,0.32328,0.528398,0.319891,0.293652,0.05985,0.207814,0.173153,0.261288,0.19747,0.5094,0.544406,0.660053,0.3988,0.255435,0.424163,0.376478,0.61811,0.380544,0.355565,0.07676,0.261839,0.22065,0.310265,0.242239,0.394894,0.376474,0.355128,0.343495,0.275849,0.378817,0.304574,0.399239,0.337983,0.314238,0.107827,0.281656,0.24308,0.316176,0.265668,0.628119,0.636042,0.651965,0.57752,0.562134,0.633993,0.514207,0.67257,0.579294,0.596888,0.435736,0.611932,0.545587,0.572152,0.530943,0.398935,0.447134,0.548462,0.381977,0.169966,0.371314,0.270471,0.552894,0.276653,0.263982,0.056698,0.250973,0.122315,0.276769,0.167038,0.454499,0.509627,0.621508,0.434105,0.205337,0.421613,0.309915,0.62866,0.318256,0.307724,0.068146,0.299692,0.148743,0.323927,0.203169,0.370255,0.352355,0.368519,0.368534,0.236698,0.37682,0.27704,0.390936,0.306828,0.28643,0.098309,0.307513,0.184853,0.323194,0.227502,0.587165,0.592068,0.641881,0.589108,0.491978,0.613212,0.477553,0.6434,0.522112,0.531851,0.294153,0.556175,0.417398,0.559667,0.456948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.285814,0.182447,0.160185,0.157434,0.328448,0.233174,0.139655,0.162944,0.315018,0.347036,0.244506,0.375644,0.343528,0.259376,0.332566,0.444842,0.337311,0.360187,0.248173,0.411182,0.319301,0.224656,0.325032,0.421949,0.470454,0.340754,0.479197,0.44056,0.333339,0.418625,0.248298,0.163819,0.135775,0.149283,0.338777,0.21792,0.128783,0.145197,0.297881,0.328275,0.293338,0.37482,0.361701,0.255377,0.34309,0.612177,0.633761,0.630549,0.505538,0.559678,0.48698,0.434479,0.595978,0.555804,0.582464,0.655202,0.594867,0.583558,0.503477,0.547218,0.313865,0.190835,0.16618,0.197743,0.354709,0.251414,0.160392,0.184188,0.324574,0.364577,0.211971,0.392584,0.321988,0.323216,0.336714,0.421003,0.330175,0.370015,0.287622,0.43707,0.331793,0.224014,0.370837,0.401995,0.467472,0.268495,0.488231,0.394688,0.397163,0.415624,0.295861,0.176835,0.14954,0.190316,0.355151,0.242087,0.153978,0.169423,0.314426,0.345272,0.222237,0.381264,0.320627,0.316096,0.335886,0.537281,0.503558,0.553852,0.478934,0.58514,0.503173,0.36599,0.555131,0.515864,0.561069,0.430099,0.60561,0.509775,0.559713,0.551223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
